### SNIa toy model generated with mk_snia_toy_model.py version 2018-06-22
#
## Adopted constants:
#
# MSUN = 1.98900000e+33 g
# 56Ni half-life THALF_56NI = 6.07500000e+00 day
# 56Co half-life THALF_56CO = 7.72360000e+01 day
# Energy per 56Ni decay EDECAY_56NI = 1.72060000e+00 MeV
# Energy per 56Co decay EDECAY_56CO = 3.60720000e+00 MeV
#
## Ejecta parameters (actual vs. requested):
#
# Mtot = 9.9990e-01 Msun (1.0000e+00 requested)
# Ekin = 9.9811e+50 erg (1.0000e+51 requested)
# nzones =  807 ; cell size dvel = 5.0000e+01 km/s ; Vmax = 4.0325e+04 km/s
# density profile = expon
# time at which radius, temperature and abundances are calculated, tend = 2.00 DAYS
# M(stable IGE) = 0.0000e+00 Msun (0.0000e+00 requested) with relative (Ni, Fe) fractions = 0.10, 0.90
# M(56Ni,t=0) = 9.9950e-02 Msun (1.0000e-01 requested)
# M(IME) = 8.9995e-01 Msun (9.0000e-01 requested); IMEs = Ca, S, Si with relative fractions = 0.1, 0.35, 0.55
# M(unburnt C/O) = 0.0000e+00 Msun with relative (O, C) fractions = 0.50, 0.50
# dM(IGE,56Ni,IME) = 0.00, 0.20, 0.00 Msun; transition profile = cosine
# ni56 weighted, average column density=7.15e+14 g cm^-2 s^2; t0_gamma=48.93 day

#
# COLUMNS:
#
# (1) zone index
# (2) velocity at zone center [km/s]
# (3) zone mass [Msun]
# (4) Lagrangian mass coordinate (corresponding to outer zone boundary) [Msun]
# (5) IGE mass fraction at t=0
# (6) 56Ni mass fraction at t=0
# (7) IME mass fraction
# (8) Ti mass fraction
# (9) unburnt CO mass fraction
# (10) radius at zone center [cm] = velocity * time_since_explosion (homologous expansion)
# (11) mean density over zone [g/cm^3] (*not* density at zone center)
# (12) temperature [K]
# (13)-(21) mass fractions
#
# NOTES ON MASS FRACTIONS: (14) X_Ni includes X_56Ni; (15) X_Co = X_56Co; (16) X_Fe includes 56Fe from 56Co decay
#
#idx vel[km/s]  dmass[Msun] mass[Msun] X_IGE0     X_56Ni0    X_IME      X_Ti       X_CO       rad[cm]    dens[gcc]  temp[K]    X_56Ni     X_Ni       X_Co       X_Fe       X_Ca       X_S        X_Si       X_O        X_C       
#(1) (2)        (3)        (4)        (5)        (6)        (7)        (8)        (9)        (10)       (11)       (12)       (13)       (14)       (15)       (16)       (17)       (18)       (19)       (20)       (21)      
  13 6.2500e+02 3.2452e-04 1.5960e-03 0.0000e+00 9.9986e-01 1.3590e-04 0.0000e+00 0.0000e+00 1.0800e+13 5.0942e-10 1.1911e+05 7.9586e-01 7.9586e-01 2.0212e-01 1.8889e-03 1.3590e-05 4.7565e-05 7.4745e-05 0.0000e+00 0.0000e+00
  14 6.7500e+02 3.7202e-04 1.9681e-03 0.0000e+00 9.9979e-01 2.0831e-04 0.0000e+00 0.0000e+00 1.1664e+13 5.0071e-10 1.1860e+05 7.9580e-01 7.9580e-01 2.0210e-01 1.8887e-03 2.0831e-05 7.2907e-05 1.1457e-04 0.0000e+00 0.0000e+00
  15 7.2500e+02 4.2181e-04 2.3899e-03 0.0000e+00 9.9969e-01 3.0698e-04 0.0000e+00 0.0000e+00 1.2528e+13 4.9214e-10 1.1808e+05 7.9572e-01 7.9572e-01 2.0208e-01 1.8885e-03 3.0698e-05 1.0744e-04 1.6884e-04 0.0000e+00 0.0000e+00
  16 7.7500e+02 4.7372e-04 2.8636e-03 0.0000e+00 9.9956e-01 4.4359e-04 0.0000e+00 0.0000e+00 1.3392e+13 4.8372e-10 1.1757e+05 7.9561e-01 7.9561e-01 2.0205e-01 1.8883e-03 4.4359e-05 1.5526e-04 2.4398e-04 0.0000e+00 0.0000e+00
  17 8.2500e+02 5.2761e-04 3.3912e-03 0.0000e+00 9.9938e-01 6.2355e-04 0.0000e+00 0.0000e+00 1.4256e+13 4.7544e-10 1.1706e+05 7.9547e-01 7.9547e-01 2.0202e-01 1.8879e-03 6.2355e-05 2.1824e-04 3.4295e-04 0.0000e+00 0.0000e+00
  18 8.7500e+02 5.8333e-04 3.9745e-03 0.0000e+00 9.9914e-01 8.6150e-04 0.0000e+00 0.0000e+00 1.5120e+13 4.6731e-10 1.1655e+05 7.9528e-01 7.9528e-01 2.0197e-01 1.8875e-03 8.6150e-05 3.0153e-04 4.7383e-04 0.0000e+00 0.0000e+00
  19 9.2500e+02 6.4072e-04 4.6153e-03 0.0000e+00 9.9883e-01 1.1659e-03 0.0000e+00 0.0000e+00 1.5984e+13 4.5931e-10 1.1604e+05 7.9504e-01 7.9504e-01 2.0191e-01 1.8869e-03 1.1659e-04 4.0808e-04 6.4127e-04 0.0000e+00 0.0000e+00
  20 9.7500e+02 6.9966e-04 5.3149e-03 0.0000e+00 9.9845e-01 1.5532e-03 0.0000e+00 0.0000e+00 1.6848e+13 4.5145e-10 1.1553e+05 7.9473e-01 7.9473e-01 2.0183e-01 1.8862e-03 1.5532e-04 5.4361e-04 8.5424e-04 0.0000e+00 0.0000e+00
  21 1.0250e+03 7.6001e-04 6.0749e-03 0.0000e+00 9.9796e-01 2.0378e-03 0.0000e+00 0.0000e+00 1.7712e+13 4.4372e-10 1.1502e+05 7.9435e-01 7.9435e-01 2.0173e-01 1.8853e-03 2.0378e-04 7.1321e-04 1.1208e-03 0.0000e+00 0.0000e+00
  22 1.0750e+03 8.2164e-04 6.8966e-03 0.0000e+00 9.9736e-01 2.6353e-03 0.0000e+00 0.0000e+00 1.8576e+13 4.3612e-10 1.1450e+05 7.9387e-01 7.9387e-01 2.0161e-01 1.8841e-03 2.6353e-04 9.2236e-04 1.4494e-03 0.0000e+00 0.0000e+00
  23 1.1250e+03 8.8443e-04 7.7810e-03 0.0000e+00 9.9663e-01 3.3685e-03 0.0000e+00 0.0000e+00 1.9440e+13 4.2866e-10 1.1399e+05 7.9329e-01 7.9329e-01 2.0146e-01 1.8828e-03 3.3685e-04 1.1790e-03 1.8527e-03 0.0000e+00 0.0000e+00
  24 1.1750e+03 9.4826e-04 8.7292e-03 0.0000e+00 9.9575e-01 4.2536e-03 0.0000e+00 0.0000e+00 2.0304e+13 4.2132e-10 1.1347e+05 7.9258e-01 7.9258e-01 2.0128e-01 1.8811e-03 4.2536e-04 1.4888e-03 2.3395e-03 0.0000e+00 0.0000e+00
  25 1.2250e+03 1.0130e-03 9.7423e-03 0.0000e+00 9.9469e-01 5.3149e-03 0.0000e+00 0.0000e+00 2.1168e+13 4.1411e-10 1.1295e+05 7.9174e-01 7.9174e-01 2.0107e-01 1.8791e-03 5.3149e-04 1.8602e-03 2.9232e-03 0.0000e+00 0.0000e+00
  26 1.2750e+03 1.0786e-03 1.0821e-02 0.0000e+00 9.9342e-01 6.5754e-03 0.0000e+00 0.0000e+00 2.2032e+13 4.0702e-10 1.1243e+05 7.9073e-01 7.9073e-01 2.0081e-01 1.8767e-03 6.5754e-04 2.3014e-03 3.6165e-03 0.0000e+00 0.0000e+00
  27 1.3250e+03 1.1449e-03 1.1966e-02 0.0000e+00 9.9194e-01 8.0630e-03 0.0000e+00 0.0000e+00 2.2896e+13 4.0005e-10 1.1190e+05 7.8955e-01 7.8955e-01 2.0051e-01 1.8739e-03 8.0630e-04 2.8220e-03 4.4346e-03 0.0000e+00 0.0000e+00
  28 1.3750e+03 1.2118e-03 1.3178e-02 0.0000e+00 9.9020e-01 9.8019e-03 0.0000e+00 0.0000e+00 2.3760e+13 3.9320e-10 1.1137e+05 7.8817e-01 7.8817e-01 2.0016e-01 1.8706e-03 9.8019e-04 3.4307e-03 5.3910e-03 0.0000e+00 0.0000e+00
  29 1.4250e+03 1.2793e-03 1.4457e-02 0.0000e+00 9.8818e-01 1.1824e-02 0.0000e+00 0.0000e+00 2.4624e+13 3.8647e-10 1.1084e+05 7.8656e-01 7.8656e-01 1.9975e-01 1.8668e-03 1.1824e-03 4.1384e-03 6.5032e-03 0.0000e+00 0.0000e+00
  30 1.4750e+03 1.3471e-03 1.5804e-02 0.0000e+00 9.8584e-01 1.4156e-02 0.0000e+00 0.0000e+00 2.5488e+13 3.7985e-10 1.1029e+05 7.8470e-01 7.8470e-01 1.9928e-01 1.8624e-03 1.4156e-03 4.9544e-03 7.7855e-03 0.0000e+00 0.0000e+00
  31 1.5250e+03 1.4154e-03 1.7219e-02 0.0000e+00 9.8316e-01 1.6835e-02 0.0000e+00 0.0000e+00 2.6352e+13 3.7335e-10 1.0974e+05 7.8257e-01 7.8257e-01 1.9874e-01 1.8573e-03 1.6835e-03 5.8923e-03 9.2593e-03 0.0000e+00 0.0000e+00
  32 1.5750e+03 1.4838e-03 1.8703e-02 0.0000e+00 9.8011e-01 1.9888e-02 0.0000e+00 0.0000e+00 2.7216e+13 3.6695e-10 1.0919e+05 7.8014e-01 7.8014e-01 1.9812e-01 1.8515e-03 1.9888e-03 6.9608e-03 1.0938e-02 0.0000e+00 0.0000e+00
  33 1.6250e+03 1.5525e-03 2.0256e-02 0.0000e+00 9.7664e-01 2.3356e-02 0.0000e+00 0.0000e+00 2.8080e+13 3.6067e-10 1.0862e+05 7.7738e-01 7.7738e-01 1.9742e-01 1.8450e-03 2.3356e-03 8.1747e-03 1.2846e-02 0.0000e+00 0.0000e+00
  34 1.6750e+03 1.6212e-03 2.1877e-02 0.0000e+00 9.7273e-01 2.7266e-02 0.0000e+00 0.0000e+00 2.8944e+13 3.5450e-10 1.0804e+05 7.7426e-01 7.7426e-01 1.9663e-01 1.8376e-03 2.7266e-03 9.5432e-03 1.4996e-02 0.0000e+00 0.0000e+00
  35 1.7250e+03 1.6900e-03 2.3567e-02 0.0000e+00 9.6834e-01 3.1662e-02 0.0000e+00 0.0000e+00 2.9808e+13 3.4843e-10 1.0746e+05 7.7077e-01 7.7077e-01 1.9574e-01 1.8293e-03 3.1662e-03 1.1082e-02 1.7414e-02 0.0000e+00 0.0000e+00
  36 1.7750e+03 1.7588e-03 2.5326e-02 0.0000e+00 9.6342e-01 3.6576e-02 0.0000e+00 0.0000e+00 3.0672e+13 3.4246e-10 1.0686e+05 7.6685e-01 7.6685e-01 1.9475e-01 1.8200e-03 3.6576e-03 1.2801e-02 2.0117e-02 0.0000e+00 0.0000e+00
